iter	Passed	Remaining
0	218	217861
1	257	128658
2	302	100653
3	336	83762
4	390	77742
5	438	72589
6	488	69317
7	517	64223
8	558	61463
9	595	58993
10	636	57251
11	685	56463
12	713	54173
13	744	52423
14	775	50952
15	816	50187
16	844	48859
17	876	47831
18	916	47301
19	962	47167
20	987	46055
21	1031	45834
22	1093	46470
23	1128	45896
24	1168	45566
25	1194	44729
26	1258	45356
27	1310	45478
28	1335	44719
29	1392	45011
30	1422	44466
31	1442	43641
32	1487	43600
33	1533	43575
34	1572	43364
35	1586	42488
36	1630	42441
37	1678	42483
38	1755	43252
39	1767	42420
40	1842	43100
41	1916	43717
42	1951	43442
43	1981	43055
44	2019	42865
45	2047	42454
46	2078	42147
47	2102	41707
48	2136	41473
49	2165	41141
50	2179	40560
51	2192	39964
52	2225	39764
53	2232	39108
54	2269	38997
55	2311	38960
56	2339	38709
57	2348	38140
58	2376	37905
59	2408	37738
60	2415	37190
61	2441	36940
62	2472	36766
63	2497	36523
64	2526	36336
65	2558	36210
66	2589	36060
67	2598	35613
68	2627	35454
69	2655	35278
70	2685	35133
71	2694	34726
72	2724	34597
73	2761	34553
74	2789	34403
75	2818	34261
76	2848	34139
77	2877	34008
78	2906	33889
79	2937	33775
80	2962	33616
81	2999	33580
82	3029	33474
83	3062	33396
84	3090	33264
85	3098	32931
86	3129	32844
87	3160	32753
88	3189	32647
89	3226	32625
90	3236	32331
91	3268	32260
92	3298	32173
93	3329	32086
94	3359	32003
95	3388	31910
96	3418	31821
97	3449	31746
98	3484	31708
99	3514	31631
100	3544	31546
101	3553	31285
102	3582	31199
103	3611	31111
104	3639	31023
105	3649	30780
106	3681	30726
107	3757	31032
108	3799	31057
109	3872	31333
110	3903	31265
111	3938	31227
112	3946	30975
113	3982	30948
114	3991	30717
115	4020	30637
116	4055	30604
117	4074	30451
118	4103	30379
119	4142	30379
120	4177	30350
121	4208	30286
122	4235	30202
123	4264	30127
124	4301	30107
125	4323	29989
126	4353	29924
127	4383	29860
128	4417	29825
129	4446	29756
130	4475	29689
131	4506	29634
132	4535	29568
133	4567	29518
134	4602	29491
135	4634	29441
136	4666	29394
137	4693	29317
138	4723	29258
139	4753	29198
140	4782	29137
141	4817	29111
142	4843	29030
143	4872	28964
144	4900	28897
