iter	Passed	Remaining
0	493	48902
1	738	36195
2	969	31334
3	1203	28894
4	1443	27431
5	1709	26776
6	1934	25698
7	2163	24875
8	2391	24184
9	2612	23508
10	2841	22990
11	3060	22443
12	3305	22121
13	3522	21637
14	3755	21281
15	3992	20961
16	4224	20626
17	4449	20267
18	4681	19958
19	4909	19639
20	5149	19372
21	5370	19041
22	5600	18749
23	5869	18587
24	6099	18299
25	6332	18023
26	6579	17789
27	6811	17514
28	7030	17211
29	7246	16907
30	7558	16824
31	7871	16727
32	8165	16578
33	8467	16437
34	8779	16304
35	9082	16146
36	9387	15984
37	9681	15795
38	10005	15649
39	10290	15435
40	10604	15259
41	10891	15041
42	11176	14815
43	11459	14584
44	11759	14373
45	12044	14138
46	12337	13913
47	12637	13690
48	12916	13443
49	13188	13188
50	13480	12951
51	13801	12740
52	14137	12536
53	14434	12296
54	14732	12054
55	15030	11809
56	15330	11564
57	15629	11317
58	15919	11063
59	16220	10813
60	16511	10556
61	16795	10293
62	17076	10028
63	17362	9766
64	17645	9501
65	17925	9234
66	18206	8967
67	18488	8700
68	18777	8436
69	19075	8175
70	19360	7907
71	19638	7637
72	19920	7368
73	20200	7097
74	20530	6843
75	20866	6589
76	22322	6667
77	23439	6611
78	24308	6461
79	25202	6300
80	26197	6145
81	27178	5966
82	28046	5744
83	28947	5513
84	29803	5259
85	30798	5013
86	31530	4711
87	31961	4358
88	32242	3984
89	32525	3613
90	32797	3243
91	33081	2876
92	33376	2512
93	33649	2147
94	33919	1785
95	34209	1425
96	34498	1066
97	34779	709
98	35051	354
99	35337	0
